name,website
ACI Worldwide,https://www.aciworldwide.com/
Airbnb,https://www.airbnb.ie/?locale=en&_set_bev_on_new_domain=1639068885_YmJmYTIyYjY2MmVm
Allstate,https://www.allstateni.com/
Amazon,https://www.amazon.com/
AMD,https://www.amd.com/en
Aphix,https://www.aphixsoftware.com/
Apple,https://www.apple.com/ie/
Aptiv,https://www.aptiv.com/
AWS,https://aws.amazon.com/
Bard na Gleann,http://www.bardnangleann.com/
biologit,https://www.biologit.com/
Cilter,https://www.cilter.ie/
Cisco,http://www.cisco.com
Cora,https://corasystems.com/
Creme Global,https://www.cremeglobal.com/
Crest,https://cxvglobal.com/
CWSI,https://cwsisecurity.com/
Damovo,https://www.damovo.com/en
Datalex,https://www.datalex.com/
Dell Technologies,https://www.dell.com/en-ie
Datapac,https://www.datapac.com/
Distilled,https://www.distilled.ie/
Eiratech,http://www.eiratech.com
eir evo,https://eirevo.ie/
Ericsson,https://www.ericsson.com/en
eShopWorld,https://esw.com
EXADS,https://www.exoclick.com/
Fidelity,https://www.fidelityinvestments.ie/
Financial Risk Solutions,https://frsltd.com/
FINEOS,https://www.fineos.com/
FIT,https://fit.ie/
Fujitsu,https://www.fujitsu.com/ie/
Globalization Partners,https://www.globalization-partners.com/ 
Google,https://www.google.com/
HMH,https://www.hmhco.com/
HP,https://www.hp.com/ie-en/solutions/business-solutions.html
HPE,https://www.hpe.com/ie/en/home.html
Huawei,https://www.huawei.com/en/ 
IBM,https://www.ibm.com/ie-en
ICE Group,https://icegroup.ie/ 
Idiro Analytics,https://idiro.com/
ID-Pal,https://www.id-pal.com/
Intel,https://www.intel.ie/content/www/ie/en/homepage.html
Intuity Technologies,https://www.intuity.ie/
Jabil,https://www.jabil.com/
Legato,https://www.legato.com/
Liberty IT,https://www.liberty-it.ie 
MCO MyComplianceOffice,https://mco.mycomplianceoffice.com/
ModusLink,https://www.moduslink.ie/
Monsoon Consulting,https://www.monsoonconsulting.com/en
Nikon,https://www.nikonprecision.com/ 
Odyssey VC,https://odysseyvc.com/
Oneview,https://www.oneviewhealthcare.com/
Oracle,https://www.oracle.com/ 
Orbidal,https://orbidalgroup.com/
Overcast,https://www.overcasthq.com/
Overstock,https://www.overstock.com/about 
Perigord Data,https://www.perigord-as.com/
Phonovation,https://phonovation.com/
Pilz,https://www.pilz.com/en-IE
Presidio,http://www.presidio.com/europe
Provident CRM,https://www.providentcrm.com/
PTC,https://www.ptc.com/
Quantcast,https://www.quantcast.com/
Regnology,http://www.regnology.net/en/
S3 Connected Health,https://www.s3connectedhealth.com/
SE2,https://se2.com/
Shutterstock,https://www.shutterstock.com/
Silver Cloud Health,https://www.silvercloudhealth.com
Smart Electronics,https://smartelectronics.ie/
SoapBox,https://www.soapboxlabs.com/
Sonalake,https://sonalake.com/
Spanish Point,https://www.spanishpoint.ie/
Spark,https://www.spark-hq.com/home
Squarespace,https://www.squarespace.com/
Sun Life Financial,https://www.sunlife.com/en/
Symbiotic Technical Solutions,https://symbiosys.it/
Syncreon,https://www.syncreon.com/markets-solutions/
Tata Consultancy Services TCS,https://www.tcs.com/about-us
Terawe,https://www.terawe.com/
Terminalfour,https://www.terminalfour.com/
The Digital Hub,https://www.thedigitalhub.com/
The Project Foundry,https://theprojectfoundry.com/
TikTok,https://www.tiktok.com/
Wisetek,https://wisetek.net/
Workhuman,https://www.workhuman.com/
Xerox,https://www.xerox.com/en-ie 
Zalando,https://corporate.zalando.com/en
Zarion,https://www.zarion.com/
Zyte,https://www.zyte.com/?utm_campaign=BRA&utm_medium=REF&utm_source=TechIre
Drinks Ireland,https://www.ibec.ie/drinksireland
Irish Medtech,https://www.ibec.ie/connect-and-learn/industries/life-sciences-and-healthcare/irish-medtech
BioPharmaChem Ireland,https://www.ibec.ie/connect-and-learn/industries/life-sciences-and-healthcare/biopharmachem-ireland
Technology Ireland,https://www.ibec.ie/technologyireland
Telecommunications Industry Ireland,https://www.ibec.ie/connect-and-learn/industries/technology-telecoms-and-audiovisual/telecommunications-industry-ireland
Small Firms Association,https://www.ibec.ie/sfa
Property Industry Ireland,https://www.ibec.ie/connect-and-learn/industries/construction-property-and-engineering/property-industry-ireland
Retail Ireland,https://www.ibec.ie/connect-and-learn/industries/retail-and-tourism/retail-ireland
Food Drink Ireland,https://www.ibec.ie/connect-and-learn/industries/food-and-drink/food-drink-ireland
Financial Services Ireland,https://www.ibec.ie/connect-and-learn/industries/financial-services-leasing-and-professional-services/financial-services-ireland
Meat Industry Ireland,https://www.ibec.ie/connect-and-learn/industries/food-and-drink/meat-industry-ireland
Dairy Industry Ireland,https://www.ibec.ie/dairyindustryireland
Audiovisual Ireland,https://www.ibec.ie/connect-and-learn/industries/technology-telecoms-and-audiovisual/audiovisual-ireland
Polymer Technology Ireland,https://www.ibec.ie/connect-and-learn/industries/construction-property-and-engineering/polymer-technology-ireland
Prepared Consumer Foods,https://www.ibec.ie/connect-and-learn/industries/food-and-drink/food-drink-ireland/prepared-consumer-foods
Aircraft Leasing Ireland,https://www.ibec.ie/connect-and-learn/industries/financial-services-leasing-and-professional-services/aircraft-leasing-ireland
